# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","pi_cure","price_star_usd_per_course"
4,"on",1e+05,0,0.17,56720.7758140115
4,"on",1e+05,0,0.18,60214.4144396172
4,"on",1e+05,0,0.19,63708.0530652341
4,"on",1e+05,0,0.2,67201.6916908445
4,"on",1e+05,0,0.21,70695.3303164507
4,"on",1e+05,0,0.22,74188.9689420576
4,"on",1e+05,0,0.23,77682.6075676787
4,"on",1e+05,0,0.24,81176.2461932814
4,"on",1e+05,0,0.25,84669.8848189006
4,"on",1e+05,0,0.26,88163.523444515
4,"on",1e+05,0,0.27,91657.1620701221
4,"on",1e+05,0,0.28,95150.800695736
4,"on",1e+05,0,0.29,98644.4393213498
4,"on",1e+05,0,0.3,102138.077946959
4,"on",1e+05,0,0.31,105631.716572563
4,"on",1e+05,0,0.32,109125.355198175
4,"on",1e+05,0,0.33,112618.993823788
4,"on",1e+05,0,0.34,116112.632449402
4,"on",1e+05,0,0.35,119606.271075014
4,"on",1e+05,0,0.36,123099.909700622
4,"on",1e+05,0,0.37,126593.548326235
4,"on",1e+05,0,0.38,130087.186951844
4,"on",1e+05,0,0.39,133580.825577457
4,"on",1e+05,0,0.4,137074.464203064
4,"on",1e+05,0,0.41,140568.102828686
4,"on",1e+05,0,0.42,144061.741454292
4,"on",1e+05,0,0.43,147555.380079903
4,"on",1e+05,0,0.44,151049.018705511
4,"on",1e+05,0,0.45,154542.65733113
4,"on",1e+05,0,0.46,158036.295956743
4,"on",1e+05,0,0.47,161529.934582345
4,"on",1e+05,0,0.48,165023.573207961
4,"on",1e+05,0,0.49,168517.211833566
4,"on",1e+05,0,0.5,172010.850459181
4,"on",1e+05,0,0.51,175504.489084796
4,"on",1e+05,0,0.52,178998.127710404
4,"on",1e+05,0,0.53,182491.766336016
4,"on",1e+05,0,0.54,185985.404961624
4,"on",1e+05,0,0.55,189479.043587236
4,"on",1e+05,0,0.56,192972.682212855
4,"on",1e+05,0,0.57,196466.32083846
4,"on",1e+05,0,0.58,199959.959464072
4,"on",1e+05,0,0.59,203453.598089687
4,"on",1e+05,0,0.6,206947.236715293
4,"on",1e+05,0,0.61,210440.875340907
4,"on",1e+05,0,0.62,213934.513966524
4,"on",1e+05,0,0.63,217428.152592129
4,"on",1e+05,0,0.64,220921.79121774
4,"on",1e+05,0,0.65,224415.429843353
4,"on",1e+05,0,0.66,227909.068468965
4,"on",1e+05,0,0.67,231402.707094579
4,"on",1e+05,0,0.68,234896.345720182
4,"on",1e+05,0,0.69,238389.984345798
4,"on",1e+05,0,0.7,241883.622971412
4,"on",1e+05,0,0.71,245377.261597021
4,"on",1e+05,0,0.72,248870.900222636
4,"on",1e+05,0,0.73,252364.538848244
4,"on",1e+05,0,0.74,255858.177473857
4,"on",1e+05,0,0.75,259351.816099463
4,"on",1e+05,0,0.76,262845.454725077
4,"on",1e+05,0,0.77,266339.093350688
4,"on",1e+05,0,0.78,269832.731976302
4,"on",1e+05,0,0.79,273326.370601916
4,"on",1e+05,0,0.8,276820.009227531
4,"on",1e+05,0,0.81,280313.647853136
4,"on",1e+05,0,0.82,283807.286478743
4,"on",1e+05,0,0.83,287300.925104356
4,"on",1e+05,0,0.84,290794.563729974
4,"on",1e+05,0,0.85,294288.202355582
4,"on",1e+05,0,0.86,297781.840981192
4,"on",1e+05,0,0.87,301275.479606806
4,"on",1e+05,0,0.88,304769.11823242
4,"on",1e+05,0,0.89,308262.756858031
4,"on",1e+05,0,0.9,311756.395483641
4,"on",1e+05,0,0.91,315250.034109246
4,"on",1e+05,0,0.92,318743.672734857
4,"on",1e+05,0,0.93,322237.31136047
4,"on",1e+05,0,0.94,325730.949986078
4,"on",1e+05,0,0.95,329224.588611695
4,"on",1e+05,0,0.96,332718.2272373
4,"on",1e+05,0,0.97,336211.865862916
4,"on",1e+05,0,0.98,339705.50448853
4,"on",1e+05,0,0.99,343199.143114135
4,"on",1e+05,0,1,346692.781739748
4,"on",1e+05,0.05,0,-2671.08082138491
4,"on",1e+05,0.05,0.01,-960.168757127831
4,"on",1e+05,0.05,0.02,750.74330713274
4,"on",1e+05,0.05,0.03,2461.6553713961
4,"on",1e+05,0.05,0.04,4172.56743565924
4,"on",1e+05,0.05,0.05,5883.47949991073
4,"on",1e+05,0.05,0.06,7594.39156416594
4,"on",1e+05,0.05,0.07,9305.30362842907
4,"on",1e+05,0.05,0.08,11016.2156926931
4,"on",1e+05,0.05,0.09,12727.1277569355
4,"on",1e+05,0.05,0.1,14438.0398212099
4,"on",1e+05,0.05,0.11,16148.9518854595
4,"on",1e+05,0.05,0.12,17859.8639497345
4,"on",1e+05,0.05,0.13,19570.7760139874
4,"on",1e+05,0.05,0.14,21281.6880782559
4,"on",1e+05,0.05,0.15,22992.600142502
4,"on",1e+05,0.05,0.16,24703.5122067665
4,"on",1e+05,0.05,0.17,26414.4242710231
4,"on",1e+05,0.05,0.18,28125.3363352888
4,"on",1e+05,0.05,0.19,29836.2483995517
4,"on",1e+05,0.05,0.2,31547.16046381
4,"on",1e+05,0.05,0.21,33258.0725280659
4,"on",1e+05,0.05,0.22,34968.9845923283
4,"on",1e+05,0.05,0.23,36679.8966565689
4,"on",1e+05,0.05,0.24,38390.8087208385
4,"on",1e+05,0.05,0.25,40101.7207850942
4,"on",1e+05,0.05,0.26,41812.632849359
4,"on",1e+05,0.05,0.27,43523.5449136188
4,"on",1e+05,0.05,0.28,45234.4569778768
4,"on",1e+05,0.05,0.29,46945.3690421365
4,"on",1e+05,0.05,0.3,48656.2811063994
4,"on",1e+05,0.05,0.31,50367.1931706651
4,"on",1e+05,0.05,0.32,52078.1052349126
4,"on",1e+05,0.05,0.33,53789.0172991711
4,"on",1e+05,0.05,0.34,55499.9293634463
4,"on",1e+05,0.05,0.35,57210.8414276934
4,"on",1e+05,0.05,0.36,58921.7534919656
4,"on",1e+05,0.05,0.37,60632.6655562154
4,"on",1e+05,0.05,0.38,62343.5776204821
4,"on",1e+05,0.05,0.39,64054.4896847249
4,"on",1e+05,0.05,0.4,65765.4017489944
4,"on",1e+05,0.05,0.41,67476.313813258
4,"on",1e+05,0.05,0.42,69187.2258775125
4,"on",1e+05,0.05,0.43,70898.1379417672
4,"on",1e+05,0.05,0.44,72609.0500060397
4,"on",1e+05,0.05,0.45,74319.9620702919
4,"on",1e+05,0.05,0.46,76030.8741345601
4,"on",1e+05,0.05,0.47,77741.7861988188
4,"on",1e+05,0.05,0.48,79452.6982630785
4,"on",1e+05,0.05,0.49,81163.6103273316
4,"on",1e+05,0.05,0.5,82874.5223915868
4,"on",1e+05,0.05,0.51,84585.4344558506
4,"on",1e+05,0.05,0.52,86296.3465201166
4,"on",1e+05,0.05,0.53,88007.2585843743
4,"on",1e+05,0.05,0.54,89718.1706486316
4,"on",1e+05,0.05,0.55,91429.0827128852
4,"on",1e+05,0.05,0.56,93139.9947771449
4,"on",1e+05,0.05,0.57,94850.9068414131
4,"on",1e+05,0.05,0.58,96561.8189056746
4,"on",1e+05,0.05,0.59,98272.7309699317
4,"on",1e+05,0.05,0.6,99983.6430341869
4,"on",1e+05,0.05,0.61,101694.555098449
4,"on",1e+05,0.05,0.62,103405.4671627
4,"on",1e+05,0.05,0.63,105116.379226965
4,"on",1e+05,0.05,0.64,106827.291291226
4,"on",1e+05,0.05,0.65,108538.203355477
4,"on",1e+05,0.05,0.66,110249.115419745
4,"on",1e+05,0.05,0.67,111960.027483996
4,"on",1e+05,0.05,0.68,113670.939548253
4,"on",1e+05,0.05,0.69,115381.851612514
4,"on",1e+05,0.05,0.7,117092.763676774
4,"on",1e+05,0.05,0.71,118803.675741037
4,"on",1e+05,0.05,0.72,120514.587805288
4,"on",1e+05,0.05,0.73,122225.499869555
4,"on",1e+05,0.05,0.74,123936.411933823
4,"on",1e+05,0.05,0.75,125647.32399808
4,"on",1e+05,0.05,0.76,127358.236062331
4,"on",1e+05,0.05,0.77,129069.148126581
4,"on",1e+05,0.05,0.78,130780.060190851
4,"on",1e+05,0.05,0.79,132490.97225511
4,"on",1e+05,0.05,0.8,134201.884319369
4,"on",1e+05,0.05,0.81,135912.796383633
