# commit: a97e75530ae93c0683ff5c53496ee5df0a088578
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"leg","maintenance_cap","induction_window_weeks","h_per_year","pi_cure","lambda_usd_per_qaly","price_source","price_usd_per_course","arrangement","installment_length_years","installment_financing_rate_per_year","rebate_share","outcome_observation_years","reporting_horizon","reporting_horizon_years","discounted","route_model_usd","route_independent_usd","agreement_usd","route_model_share","route_independent_share","agreement_share","timing_gap_closed_share"
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,1929640541.58983,1929640541.58983,1.19209289550781e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,2051500000,2051500000,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,3733892185.9959,3733892185.9959,-9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,4.103e+09,4.103e+09,-9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,1807781083.17966,1807781083.17966,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,2051500000,2051500000,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-615179690.006838,-615179690.006836,-1.54972076416016e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,FALSE,0,0,0,NA,NA,NA,NA
