# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"scenario_id","scenario_group_id","uptake_shape","uptake_ramp_period_years","uptake_logistic_steepness_per_year","maintenance_cap","induction_window_weeks","price_source","price_usd_per_course","pi_cure","h_per_year","lambda_usd_per_qaly","terminal_uptake_share","assumed_eligible_population_patients","reporting_horizon","reporting_horizon_years","horizon_class","is_base_case_horizon","discounted","discounting_base_case","patients_newly_treated_first_year_patients","patients_ever_treated_patients","final_year_net_budget_impact_usd_per_year","final_year_net_budget_impact_usd_pmpm","cumulative_net_budget_impact_usd","offset_captured_share","required_cure_fraction_all_treated"
"s8-log-capon-h00-pi025-pstar-u100-n100000-3yr-nom","capon-h00-pi025-pstar-u100-n100000-3yr-nom","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,12562.7017621665,64436.1302556758,2367068586.11,197.26,5324381966.33,NA,0.25
"s8-imm-capon-h00-pi025-pstar-u025-n100000-3yr-nom","capon-h00-pi025-pstar-u025-n100000-3yr-nom","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,25000,25000,-28218321.41,-2.35,2025871719.02,NA,0.25
"s8-imm-capon-h00-pi025-pstar-u100-n100000-3yr-nom","capon-h00-pi025-pstar-u100-n100000-3yr-nom","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,1e+05,1e+05,-112873285.63,-9.41,8103486876.07,NA,0.25
"s8-lin-capon-h00-pi025-analog-u025-n100000-3yr-nom","capon-h00-pi025-analog-u025-n100000-3yr-nom","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,5000,15000,2030682608.48,169.22,6110999494.06,NA,1.175122
"s8-lin-capon-h00-pi025-analog-u100-n100000-3yr-nom","capon-h00-pi025-analog-u100-n100000-3yr-nom","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,20000,60000,8122730433.94,676.89,24443997976.26,NA,1.175122
"s8-log-capon-h00-pi025-analog-u025-n100000-3yr-nom","capon-h00-pi025-analog-u025-n100000-3yr-nom","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,3140.67544054163,16109.032563919,2938372050.59,244.86,6568168605.32,NA,1.175122
"s8-log-capon-h00-pi025-analog-u100-n100000-3yr-nom","capon-h00-pi025-analog-u100-n100000-3yr-nom","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,12562.7017621665,64436.1302556758,11753488202.36,979.46,26272674421.26,NA,1.175122
"s8-imm-capon-h00-pi025-analog-u025-n100000-3yr-nom","capon-h00-pi025-analog-u025-n100000-3yr-nom","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,25000,25000,-28218321.41,-2.35,10153413042.42,NA,1.175122
"s8-imm-capon-h00-pi025-analog-u100-n100000-3yr-nom","capon-h00-pi025-analog-u100-n100000-3yr-nom","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,FALSE,TRUE,1e+05,1e+05,-112873285.63,-9.41,40613652169.69,NA,1.175122
"s8-lin-capon-h00-pi025-pstar-u025-n100000-5yr-disc","capon-h00-pi025-pstar-u025-n100000-5yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,5000,25000,348795044.58,29.07,1913515199.43,0.198869,0.25
"s8-lin-capon-h00-pi025-pstar-u100-n100000-5yr-disc","capon-h00-pi025-pstar-u100-n100000-5yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,20000,1e+05,1395180178.31,116.27,7654060797.7,0.198869,0.25
"s8-log-capon-h00-pi025-pstar-u025-n100000-5yr-disc","capon-h00-pi025-pstar-u025-n100000-5yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,3140.67544054163,25000,208586444.47,17.38,1913081438.28,0.198869,0.25
"s8-log-capon-h00-pi025-pstar-u100-n100000-5yr-disc","capon-h00-pi025-pstar-u100-n100000-5yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,12562.7017621665,1e+05,834345777.88,69.53,7652325753.1,0.198869,0.25
"s8-imm-capon-h00-pi025-pstar-u025-n100000-5yr-disc","capon-h00-pi025-pstar-u025-n100000-5yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,25000,25000,-28416406.83,-2.37,1971847090.1,0.198869,0.25
"s8-imm-capon-h00-pi025-pstar-u100-n100000-5yr-disc","capon-h00-pi025-pstar-u100-n100000-5yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,1e+05,1e+05,-113665627.33,-9.47,7887388360.41,0.198869,0.25
"s8-lin-capon-h00-pi025-analog-u025-n100000-5yr-disc","capon-h00-pi025-analog-u025-n100000-5yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,5000,25000,1793038084.03,149.42,9581197638.51,0.198869,1.175122
"s8-lin-capon-h00-pi025-analog-u100-n100000-5yr-disc","capon-h00-pi025-analog-u100-n100000-5yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,20000,1e+05,7172152336.11,597.68,38324790554.03,0.198869,1.175122
"s8-log-capon-h00-pi025-analog-u025-n100000-5yr-disc","capon-h00-pi025-analog-u025-n100000-5yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,3140.67544054163,25000,1115766173.3,92.98,9578972911.76,0.198869,1.175122
"s8-log-capon-h00-pi025-analog-u100-n100000-5yr-disc","capon-h00-pi025-analog-u100-n100000-5yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,12562.7017621665,1e+05,4463064693.22,371.92,38315891647.04,0.198869,1.175122
"s8-imm-capon-h00-pi025-analog-u025-n100000-5yr-disc","capon-h00-pi025-analog-u025-n100000-5yr-disc","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,25000,25000,-28416406.83,-2.37,10099388413.51,0.198869,1.175122
"s8-imm-capon-h00-pi025-analog-u100-n100000-5yr-disc","capon-h00-pi025-analog-u100-n100000-5yr-disc","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,TRUE,FALSE,1e+05,1e+05,-113665627.33,-9.47,40397553654.03,0.198869,1.175122
"s8-lin-capon-h00-pi025-pstar-u025-n100000-5yr-nom","capon-h00-pi025-pstar-u025-n100000-5yr-nom","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,FALSE,TRUE,5000,25000,392148548.55,32.68,2025267023.75,NA,0.25
"s8-lin-capon-h00-pi025-pstar-u100-n100000-5yr-nom","capon-h00-pi025-pstar-u100-n100000-5yr-nom","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,FALSE,TRUE,20000,1e+05,1568594194.21,130.72,8101068095.02,NA,0.25
"s8-log-capon-h00-pi025-pstar-u025-n100000-5yr-nom","capon-h00-pi025-pstar-u025-n100000-5yr-nom","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"5yr",5,"bia",FALSE,FALSE,TRUE,3140.67544054163,25000,234311325.66,19.53,2025028992.65,NA,0.25
"s8-log-capon-h00-pi025-pstar-u100-n100000-5yr-nom","capon-h00-pi025-pstar-u100-n100000-5yr-nom","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"5yr",5,"bia",FALSE,FALSE,TRUE,12562.7017621665,1e+05,937245302.62,78.1,8100115970.62,NA,0.25
