# commit: 883a7a569a4b36623c3a0509d38be664e899c028
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"maintenance_cap","induction_window_weeks","pi_cure","h_per_year","price_source","price_usd_per_course","reporting_horizon","reporting_horizon_years","bia_route_usd","frontier_route_usd","agreement_usd"
"off",8,0.75,0.1,"observed_analog_list_price",410300,"30yr",30,380641.171359722,NA,NA
"off",8,0.75,0.1,"observed_analog_list_price",410300,"40yr",40,380358.718471534,NA,NA
"off",8,0.75,0.1,"observed_analog_list_price",410300,"lifetime",65,380321.450976002,380321.450976001,4.65661287307739e-10
"off",8,1,0.1,"frontier_P_star",106160.145269666,"3yr",3,90315.6907764973,NA,NA
"off",8,1,0.1,"frontier_P_star",106160.145269666,"30yr",30,66363.3644300555,NA,NA
"off",8,1,0.1,"frontier_P_star",106160.145269666,"40yr",40,65984.8535182573,NA,NA
"off",8,1,0.1,"frontier_P_star",106160.145269666,"lifetime",65,65933.2274367752,65933.2274367752,1.45519152283669e-11
"off",8,1,0.1,"observed_analog_list_price",410300,"3yr",3,394455.545506831,NA,NA
"off",8,1,0.1,"observed_analog_list_price",410300,"30yr",30,370503.219160389,NA,NA
"off",8,1,0.1,"observed_analog_list_price",410300,"40yr",40,370124.708248591,NA,NA
"off",8,1,0.1,"observed_analog_list_price",410300,"lifetime",65,370073.082167109,370073.082167109,0
